--- URL_tintos_merged_150_to_202_48.csv ---
﻿Wine_ID,Taste_Note_1,Taste_Note_2,Taste_Note_3
1280319,"cereza, frutos rojos","Terroso, piedra","chocolate, tabaco, vain..."
6365197,"fresa, frambuesa, cerez...","casis, mora, fruta negr...","Terroso, minerales, cue..."
2573275,No disponible,No disponible,No disponible
1133110,"ciruela, fruta negra, c...","roble, vainilla, tabaco","cuero, Terroso, ceniza"
5985946,"ceniza, Terroso, minera...","arándano rojo, fresa sa...","roble, bebida cola, cla..."
6343332,"aceto balsámico, suelo ...",fresa deshidratada,naranja
1302561,"roble, tabaco, vainilla","cuero, Terroso, humo","cereza, frambuesa, frut..."
2735037,"roble, vainilla, chocol...","mora, casis, cereza neg...","cereza, frambuesa, fres..."
3985319,"arándano, ciruela, mora","roble, vainilla, clavo ...","regaliz, pimienta blanc..."
1283561,No disponible,No disponible,No disponible
1360802,cereza,mermelada,ajedrea
7706895,"humo, minerales, Terros...","cereza, cereza roja, fr...",roble
7118207,arándano,frambuesa,naranja
3869502,"fresa, frutos rojos, ce...","minerales, Terroso, hum...","pimienta, salvia, hierb..."
6377476,"granada, frambuesa, fru...",cereza negra,hierba
1148198,"cereza, frutos rojos, f...","vainilla, chocolate ama...","cacao, Terroso, humo"
1135638,"roble, chocolate, café","frutos del bosque, ciru...","cereza, fresa, frambues..."
1373117,"cacao, Carne de caza, j...","clavo de olor, café, ro...","cereza, cereza roja"
1583754,"mora, arándano, frutos ...","pimienta, regaliz, ment...","chocolate, roble, choco..."
1278868,"roble, cedro, chocolate","cereza negra, mermelada",frutos rojos
23370,"cereza, frutos rojos, f...","clavo de olor, roble, c...","cuero, Terroso, cacao"
2290754,"frambuesa, fresa, cerez...","roble, clavo de olor, p...","eucalipto, menta, pimie..."
5171873,"fresa, arándano rojo, c...","cuero, Terroso, mineral...","regaliz, orégano, pimie..."
4904442,pimiento,drupa,piedra
1291873,"roble, vainilla, chocol...","mora, ciruela, fruta ne...","cuero, Terroso, humo"
2610358,"cereza negra, mora",regaliz,"chocolate amargo, tabac..."
1134068,"roble, vainilla, tabaco","ciruela, mora, fruta ne...","cuero, Terroso, humo"
6677896,"cuero, humo, Terroso",tabaco,frutos rojos
7182821,Terroso,,
7179664,"pizarra, Terroso, piedr...","cereza negra, fruta neg...","ciruela roja, fresa sal..."
11412217,mermelada,vainilla,
2266397,"frambuesa, fresa, cerez...","minerales, Terroso, hum...","pimienta, regaliz, tomi..."
7314009,"cereza, frutos rojos, f...","pimienta, anís","cuero, minerales, Carne..."
1290219,"mora, ciruela, cereza n...","roble, vainilla, chocol...","cuero, aceto balsámico,..."
8128046,mora,cuero,
1600123,"cuero, Terroso, suelo d...","mora, frutos del bosque...","roble, tabaco, vainilla"
1307024,"cereza, algodón de azúc...",vainilla,
1728096,"roble, clavo de olor, t...","cereza negra, fruta neg...","humo, alquitrán"
2159584,"cuero, Terroso, humo","ciruela, cereza negra, ...","cereza, guinda, frutos ..."
2202125,"vainilla, roble, tabaco","fruta negra, ciruela, f...","Terroso, minerales, cue..."
4287458,"vainilla, chocolate, ro...","frutos del bosque, ciru...","cereza, frutos rojos"
1226450,"cereza, frutos rojos, f...","roble, tabaco, vainilla","cuero, Terroso, hongo"
1150779,"ciruela, mora, arándano","roble, vainilla, café","cereza, frambuesa, frut..."
1664117,"Terroso, carne a la par...","fruta negra, mora",cereza
2266422,No disponible,No disponible,No disponible
1369787,"ciruela, cereza negra, ...","cereza, frambuesa",regaliz
1929610,"roble, vainilla, cedro","cereza, frambuesa","cereza negra, arándano"
1690434,cereza,"caramelo, roble",humo
97283,"cereza, fresa, frambues...","cuero, Terroso, hongo","roble, vainilla, tabaco"
2554453,"fresa, cereza, arándano...","Terroso, minerales, hum...","arándano, mora, cereza ..."
1966864,"canela, regaliz, pimien...","cereza, frambuesa, gran...","Terroso, hongo, humo"
1443715,"fresa, cereza roja, fru...","vainilla, roble, mezcla...","regaliz, hinojo, anís"
4071897,"frutos rojos, cereza, f...","Terroso, cuero","orégano, pimienta, rome..."
7328789,No disponible,No disponible,No disponible
4401644,No disponible,No disponible,No disponible
9204574,"fruta negra, casis","cereza, frambuesa",fruta seca
1103262,"Terroso, grafito, cuero","frutos rojos, frambuesa...","pimienta, menta, jalape..."
1185921,"vainilla, cigarro, choc...","mermelada, casis, cerez...","carne asada, humo, cuer..."
93117,"ciruela, cereza negra, ...","Terroso, grafito, piedr...","cigarrera, cedro, choco..."
1852007,ciruela,roble,
1785575,frutos rojos,cacao,
1256966,"cereza roja, cereza, ar...","Terroso, cuero, alquitr...","clavo de olor, roble, c..."
2482573,"humo, cuero, minerales","fresa, cereza, frutos r...","roble, tabaco, clavo de..."
2607289,"roble, coco, tabaco","fruta negra, mora, casi...","cereza, frutos rojos"
11219770,"Terroso, minerales, hum...",fruta negra,frutos rojos
4152841,"cereza negra, arándano,...","roble, vainilla, cedro","Terroso, Carne de caza,..."
6335734,pimienta,,
1186203,"Terroso, humo, cuero","cereza negra, ciruela","roble, tabaco"
4314456,"cereza, fresa, frambues...","roble, vainilla, manteq...","cuero, sal, Terroso"
7710248,"pimienta blanca, hierba...",roble,ciruela roja
1494577,"roble, tabaco, vainilla","cuero, Terroso, humo","frutos del bosque, ciru..."
9231538,"cereza, fresa",mermelada,humo
