Wine_ID,Taste_Note_1,Taste_Note_2,Taste_Note_3
86547,"manzana, albaricoque, m...",pasas de uva,miel
1321374,"pera, manzana, albarico...","cítrico, lima, limón","minerales, pizarra, mie..."
9311013,"minerales, miel, pizarr...","albaricoque, melocotón,...","caramelo, roble"
5809033,"pera, melocotón, meloco...","cítrico, limón, lima","minerales, piedra, miel"
5084896,"cítrico, naranja",roble,
3046951,"mantequilla, roble, vai...","cítrico, limón","miel, minerales"
1211935,"roble, mantequilla, vai...","pera, manzana, manzana ...","minerales, piedra, humo"
8796,"roble, mantequilla, vai...","cítrico, limón, pomelo","melocotón, manzana, alb..."
1109388,"minerales, Terroso, hon...","pera, membrillo, albari...","roble, vainilla"
1197676,"pera, manzana, manzana ...","limón, lima, cítrico","miel, minerales, sílex"
1282341,"cítrico, limón, naranja","minerales, miel, soluci...","tropical, chicle, fruta..."
1187112,"manzana, pera, manzana ...","cítrico, limón, pomelo","minerales, miel, piedra"
1240491,"mantequilla, roble, vai...","melocotón, albaricoque,...","minerales, miel, piedra"
6765576,"jengibre, minerales, sa...","cítrico, limón, cáscara...","albaricoque, melocotón ..."
35574,"mantequilla, roble, vai...","manzana, manzana verde,...","minerales, miel, piedra"
5111652,"melón, melocotón, pera","lima, cítrico, piel de ...","roble, mantequilla"
1190533,"manzana, pera, melocotó...","minerales, miel, piedra","limón, cítrico, pomelo"
6459925,"manzana, pera, manzana ...","piel de limón, cítrico,...","miel, minerales, sílex"
7599009,"roble, vainilla",paja,
3120710,"minerales, piedra, tiza","melocotón, albaricoque,...","roble, vainilla, manteq..."
1461308,"melocotón, albaricoque,...","minerales, miel, piedra","cítrico, pomelo, limón"
1746317,"roble, mantequilla, vai...","piedra, minerales, síle...","cítrico, piel de limón,..."
2437937,"naranja, cítrico, manda...","bergamota, canela, hier...","aceite de cítricos, Ter..."
8740508,No disponible,No disponible,No disponible
7183008,"melocotón, manzana, nec...","pomelo, lima, mandarina","minerales, piedra"
3447207,"manzana, albaricoque, m...","miel, minerales, piedra","naranja, cítrico, cásca..."
5794748,"minerales, piedra, tiza","cítrico, lima, limón","manzana, pera, melocotó..."
79618,"mantequilla, roble, but...","miel, minerales, piedra","cítrico, lima, limón"
1735120,"minerales, miel, piedra","cítrico, limón, lima","pera, manzana, manzana ..."
2017025,"minerales, piedra, miel","manzana, pera verde, dr...",pasas de uva
4926264,"cereza, fresa",ciruela,vainilla
3989194,"manzana verde, manzana,...","minerales, sal, tiza","limón, cítrico, pomelo"
5298118,No disponible,No disponible,No disponible
9175835,No disponible,No disponible,No disponible
9649118,"solución salina, jengib...","mango, tropical","cítrico, limón, piel bl..."
3872969,"cítrico, limón, pomelo","roble, mantequilla, vai...","manzana, manzana verde,..."
4264250,"naranja, cítrico, cásca...","melocotón, manzana, alb...","carne de barbacoa, miel..."
5593342,"roble, mantequilla, pal...","melocotón, albaricoque","miel, piedra, Terroso"
1679225,"manzana, albaricoque, m...","miel, humo, sal","naranja, cítrico, limón"
4399637,"cítrico, limón, pomelo","roble, mantequilla, vai...","albaricoque, pera, manz..."
8484,"mantequilla, roble, vai...","manzana, pera, melocotó...","cítrico, limón, pomelo"
1550738,"pera, melocotón, manzan...","minerales, piedra, miel","cítrico, limón, pomelo"
1710571,"minerales, miel, Terros...","cítrico, limón, cáscara...","roble, vainilla, manteq..."
1533169,"manzana, pera, manzana ...","roble, vainilla","almendra, mazapán"
6219111,"mantequilla, roble",limón Meyer,crema de limón
79502,"manzana verde, pera, ma...","mantequilla, vainilla, ...","cítrico, limón, pomelo"
6620994,"miel, piedra, cera de a...","cítrico, naranja, limón","roble, caramelo, manteq..."
5647105,"manzana, membrillo, per...","miel, minerales, soluci...","cítrico, lima, limón"
1147593,"pera, melocotón, manzan...","minerales, piedra, miel","cítrico, limón, lima"
14675,"miel, minerales, piedra","manzana, pera, melocotó...","cítrico, limón, pomelo"
4321994,"naranja, cáscara de nar...","albaricoque, melocotón,...","miel, cera, Terroso"
