Url,ID,Nombre,Año,País,Región,Bodega,Tipo de vino,Uva,Precio,Valoración,Contenido de alcohol,Maridajes
https://www.vivino.com/ES/es/casa-de-la-ermita-lunatico-monastrell/w/2675664,2675664,Lunático Monastrell,2020,España,Jumilla,Casa de la Ermita,Vino tinto,Monastrell,10.55,3.8,5,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/telmo-rodriguez-gaba-mencia/w/12051744,12051744,Gaba Mencia,2020,España,Valdeorras,Telmo Rodriguez,Vino tinto,Mencia,10.55,3.7,5,"Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/fos-maceracion-carbonica/w/5530663,5530663,Maceración Carbónica,2023,España,Rioja,Fos,Vino tinto,Tempranillo,10.54,3.7,5,"Ternera, Cordero, Ternera lechal, Aves"
https://www.vivino.com/ES/es/rodriguez-sanzo-las-tierras-javier-rodriguez-el-pego/w/8905062,8905062,Las Tierras Javier Rodríguez El Pego,2020,España,Toro,Rodríguez Sanzo,Vino tinto,Tinta de toro,10.52,3.9,5,"Ternera, Cordero, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/hubert-broschard-les-carisannes-pinot-noir/w/1653385,1653385,Les Carisannes Pinot Noir,2020,Francia,valle del Loira,Hubert Brochard,Vino tinto,Pinot Noir,10.51,3.4,5,
https://www.vivino.com/ES/es/pinol-sa-natura/w/2004137,2004137,Sa Natura,2019,España,Terra Alta,Celler Piñol,Vino tinto,"Shiraz/Syrah, Cariñena, Garnacha",10.51,3.8,14,"Ternera, Ternera lechal, Aves, Pasta"
https://www.vivino.com/ES/es/forster-winzerverein-spatburgunder-rotwein-trocken/w/2054966,2054966,Spätburgunder Trocken,2022,Alemania,Pfalz,Forster Winzerverein,Vino tinto,Spätburgunder,10.50,3.5,No disponible,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/rafael-cambra-dos/w/1799957,1799957,Dos,2018,España,Valencia,Rafael Cambra,Vino tinto,"Cabernet Sauvignon, Cabernet Franc, Monastrell",10.46,3.6,14,"Ternera, Ternera lechal, Aves, Pasta"
https://www.vivino.com/ES/es/can-serra-dels-exibis-viticultors-exibis/w/2346768,2346768,Exibis,2023,España,Pla de Bages,Can Serra dels Exibis,Vino tinto,"Cabernet Sauvignon, Merlot",10.50,3.8,No disponible,"Ternera, Ternera lechal, Aves, Pasta"
https://www.vivino.com/ES/es/consejo-de-la-alta-crianza/w/1496062,1496062,Crianza,2015,España,Rioja,Consejo de la Alta,Vino tinto,Tempranillo,10.50,3.7,5,"Ternera, Cordero, Ternera lechal, Aves"
https://www.vivino.com/ES/es/del-pasente-el-pispa-garnatxa/w/2363186,2363186,El Pispa Garnatxa,2022,España,Montsant,Vinos del Paseante,Vino tinto,Garnacha,10.30,3.7,14,"Ternera, Cordero, Pasta"
https://www.vivino.com/ES/es/quinta-de-sao-sebastiao-miradouro-da-vinha-tinto/w/8047195,8047195,Miradouro da Vinha Tinto,2022,Portugal,Lisboa,Quinta de São Sebastião,Vino tinto,No disponible,10.50,3.8,No disponible,"Ternera, Ternera lechal, Aves, Pasta"
https://www.vivino.com/ES/es/les-vignerons-de-tutiac-tout-anqui/w/8630740,8630740,Tout Anqui,2020,Francia,Blaye - Côtes de Bordeaux,Les Vignerons de Tutiac,Vino tinto,"Cabernet Sauvignon, Merlot",10.50,4.1,No disponible,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/ricardelle-de-lautrec-jullile/w/4835339,4835339,Julille,2021,Francia,Pays d'Oc,Ricardelle de Lautrec,Vino tinto,"Merlot, Pinot Noir",10.50,3.8,13,"Ternera, Ternera lechal, Pasta"
https://www.vivino.com/ES/es/velarino-malvasia-nera/w/6800666,6800666,Malvasia Nera,2021,Italia,Salento,Velarino,Vino tinto,Malvasia Nera,10.50,4.0,5,"Ternera, Cordero, Pasta"
https://www.vivino.com/ES/es/bodegas-jc-conde-sentido/w/88730,88730,Sentido,2020,España,Ribera del Duero,Neo,Vino tinto,Tinto Fino,10.50,3.6,14,"Ternera, Cordero, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/pietro-colosi-nero-d-avola/w/97199,97199,Nero d'Avola,2023,Italia,Terre Siciliane,Colosi,Vino tinto,Nero d'Avola,10.50,3.9,14,"Ternera, Cordero, Pasta"
https://www.vivino.com/ES/es/frutos-villar-buen-chico/w/6816776,6816776,Buen Chico,2018,España,Toro,Bodegas Frutos Villar,Vino tinto,Tempranillo,10.50,3.8,5,"Ternera, Cordero, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/de-nariz-monastrell-syrah/w/10949389,10949389,Monastrell - Syrah,2021,España,Yecla,De Nariz,Vino tinto,"Shiraz/Syrah, Monastrell",10.50,4.1,5,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/dominique-piron-beaujolais-nouveau/w/2399002,2399002,Beaujolais Nouveau,2024,Francia,Beaujolais Nouveau,Dominique Piron,Vino tinto,Gamay,10.50,3.6,12,"Aves, Carne adobada"
https://www.vivino.com/ES/es/cova-montsant-barrica-ombra/w/84026,84026,Ombra Barrica,2022,España,Montsant,La Cova Dels Vins,Vino tinto,"Shiraz/Syrah, Grenache, Carignan",10.50,3.4,14,"Ternera, Cordero, Pasta"
https://www.vivino.com/ES/es/atlantic-galician-wineries-agw-massimo-rosso/w/1931412,1931412,Massimo Rosso,2023,España,Ribeira Sacra,Atlantic Galician Wineries - AGW,Vino tinto,"Mencia, Sousón",10.50,3.6,13,"Ternera, Ternera lechal, Aves, Pasta"
https://www.vivino.com/ES/es/lunaria-ruminat-primitivo/w/4736576,4736576,Ruminat Primitivo,2024,Italia,Abruzos,Lunaria,Vino tinto,Primitivo,10.50,4.0,14,"Ternera, Ternera lechal, Aves, Pasta"
https://www.vivino.com/ES/es/ferratus-ferratus-ao/w/4781778,4781778,AØ,2020,España,Ribera del Duero,Ferratus,Vino tinto,Tempranillo,10.50,3.7,5,"Ternera, Cordero, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/melini-chianti/w/1199214,1199214,Chianti,2023,Italia,Chianti,Melini,Vino tinto,Sangiovese,10.50,3.5,13,"Ternera, Ternera lechal, Aves"
https://www.vivino.com/ES/es/ricardelle-de-lautrec-margot/w/2333833,2333833,Margot,2021,Francia,Pays d'Oc,Ricardelle de Lautrec,Vino tinto,"Merlot, Cabernet Sauvignon",10.50,3.8,5,"Ternera, Ternera lechal, Pasta"
https://www.vivino.com/ES/es/haltinger-winzer-pinot-noir-blanc-de-noirs/w/5530794,5530794,Pinot Noir Blanc de Noirs,2022,Alemania,Baden,Haltinger Winzer,Vino blanco,Pinot Noir,10.50,4.1,13,"Cerdo, Vegetariana, Aves, Aperitivos y tentempiés, Queso tierno y cremoso, Queso de leche de cabra"
https://www.vivino.com/ES/es/cantina-sociale-della-valpantena-sca-torre-del-falasco-bardolino/w/14953,14953,Torre del Falasco Bardolino,2023,Italia,Bardolino,Cantina Valpantena,Vino tinto,"Rondinella, Corvina Veronese",10.50,3.3,5,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/wolf-pinot-noir/w/1551962,1551962,Pinot Noir,2022,Alemania,Pfalz,Villa Wolf,Vino tinto,Pinot Noir,10.70,3.7,5,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/arloren-paca/w/5483700,5483700,Paca,2019,España,Jumilla,Arloren,Vino tinto,"Shiraz/Syrah, Cabernet Sauvignon, Monastrell",10.50,3.5,14,"Ternera, Ternera lechal, Aves, Pasta"
https://www.vivino.com/ES/es/laventura-la-nave/w/5895119,5895119,La Nave,2020,España,Rioja,Laventura,Vino tinto,"Grenache, Tempranillo",10.50,3.6,5,"Ternera, Cordero, Ternera lechal, Aves"
https://www.vivino.com/ES/es/la-maldita-revolution-garnacha/w/8100305,8100305,Revolution Garnacha,2020,España,Rioja,La Maldita,Vino tinto,Garnacha,10.50,3.9,5,"Ternera, Cordero, Ternera lechal, Aves"
