Url,ID,Nombre,Año,País,Región,Bodega,Tipo de vino,Uva,Precio,Valoración,Contenido de alcohol,Maridajes
https://www.vivino.com/ES/es/domaine-mia-mercurey-premier-cru-les-vasees/w/10246652,10246652,Mercurey Premier Cru 'Les Vasées',2019,Francia,"Mercurey 1er Cru ""Les Vasees""",Domaine MIA,Vino tinto,Pinot Noir,75.96,4.2,No disponible,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/gruber-roschitz-pinot-noir-niederosterreich/w/5494749,5494749,Pinot Noir,2020,Austria,Niederösterreich,Gruber Röschitz,Vino tinto,Pinot Noir,75.96,3.6,No disponible,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/ca-dei-frati-pietro-dal-cero-amarone-della-valpolicella/w/2716483,2716483,Pietro Dal Cero Amarone della Valpolicella,2016,Italia,Amarone della Valpolicella,Cà dei Frati,Vino tinto,Corvina,78.96,4.5,17,"Ternera, Cordero, Carne de caza (ciervo, carne de venado), Queso azul"
https://www.vivino.com/ES/es/vinas-del-vero-blecua-somontano/w/1215527,1215527,Blecua Somontano,2017,España,Somontano,Viñas del Vero,Vino tinto,"Garnacha, Shiraz/Syrah, Cabernet Sauvignon, Tempranillo",75.90,4.4,5,"Ternera, Ternera lechal, Aves, Pasta"
https://www.vivino.com/ES/es/uccelliera-brunello-di-montalcino/w/779523,779523,Brunello di Montalcino,2018,Italia,Brunello di Montalcino,Uccelliera,Vino tinto,Sangiovese,75.90,4.3,15,"Ternera, Cordero, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/enate-reserva-especial/w/1174676,1174676,Reserva Especial,2006,España,Somontano,Enate,Vino tinto,"Cabernet Sauvignon, Merlot",75.90,4.1,15,"Ternera, Ternera lechal, Aves, Pasta"
https://www.vivino.com/ES/es/telmo-rodriguez-ladeiras-do-xil-falcoeira-a-capilla-single-vineyard/w/4422419,4422419,Ladeiras Do XIL Falcoeira A Capilla Single Vineyard,2021,España,Valdeorras,Telmo Rodriguez,Vino tinto,"Garnacha, Mencia",75.90,4.2,13,"Ternera, Ternera lechal, Aves, Pasta"
https://www.vivino.com/ES/es/louis-jadot-gevrey-chambertin/w/2883,2883,Gevrey Chambertin,2022,Francia,Gevrey-Chambertin,Louis Jadot,Vino tinto,Pinot Noir,75.90,4.0,5,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/abadia-retuerta-pago-valdebellon/w/73589,73589,Pago Valdebellón,2016,España,Abadía Retuerta,Abadía Retuerta,Vino tinto,Cabernet Sauvignon,71.81,4.4,15,"Ternera, Cordero, Aves"
https://www.vivino.com/ES/es/castellaro-corinto/w/4289617,4289617,Corinto,No disponible,Italia,Terre Siciliane,Tenuta di Castellaro,Vino tinto,Corinto Nero,38.04,4.1,13,"Ternera, Cordero, Pasta"
https://www.vivino.com/ES/es/bruno-colin-vieilles-vignes-santenay/w/1100757,1100757,Vieilles Vignes Santenay,2022,Francia,Santenay,Bruno Colin,Vino tinto,Pinot Noir,75.74,4.0,5,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/conde-predappio-raggio-brusa/w/5641685,5641685,Predappio Raggio Brusa,2013,Italia,Emilia-Romagna,Conde,Vino tinto,Sangiovese,72.85,4.2,5,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/archambaud-aux-reas-vosne-romanee/w/7092798,7092798,Aux Réas Vosne-Romanée,2019,Francia,Vosne-Romanée,Archambaud,Vino tinto,Pinot Noir,75.60,4.1,5,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
