Url,ID,Nombre,Año,País,Región,Bodega,Tipo de vino,Uva,Precio,Valoración,Contenido de alcohol,Maridajes
https://www.vivino.com/ES/es/abelon-by-ktima-brintziki-augoustiatis-red/w/2699182,2699182,Augoustiatis Red,No disponible,Grecia,Ilia,ABELON by Ktima Brintziki,Vino tinto,Avgoustiatis,18.10,3.9,5,"Ternera, Cordero, Ternera lechal, Carne de caza (ciervo, carne de venado), Queso curado"
https://www.vivino.com/ES/es/etko-olympus-wineries-ktima-haggipavlu-cabernet-sauvignon/w/3504926,3504926,Ktima Haggipavlu Cabernet Sauvignon,No disponible,Chipre,Lemesos,Etko - Olympus Wineries,Vino tinto,Cabernet Sauvignon,18,3.5,No disponible,
https://www.vivino.com/ES/es/castello-di-gabbiano-dark-knight-toscana-red-tuscany/w/5296468,5296468,Dark Knight Toscana Red,No disponible,Italia,Toscana,Castello di Gabbiano,Vino tinto,"Cabernet Sauvignon, Sangiovese, Shiraz/Syrah",18.50,3.9,5,"Ternera, Cordero, Ternera lechal, Aves, Carne adobada"
https://www.vivino.com/ES/es/la-cave-apicole-carbo-culte/w/2835094,2835094,Carbo Culte,No disponible,Francia,Vin de France.,La Cave Apicole,Vino tinto,"Mourvedre, Lledoner Pelut",18.60,3.9,No disponible,
https://www.vivino.com/ES/es/i-clivi-merlot/w/11235960,11235960,Merlot,No disponible,Italia,Colli Orientali del Friuli,I Clivi,Vino tinto,Merlot,25,4.2,5,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/la-lastra-chianti-colli-senesi/w/1238211,1238211,Chianti Colli Senesi,No disponible,Italia,Chianti Colli Senesi,La Lastra,Vino tinto,Sangiovese,18.33,3.8,13,"Ternera, Ternera lechal, Aves"
https://www.vivino.com/ES/es/pt-terra-dalter-telhas-tinto/w/1253619,1253619,Telhas Tinto,No disponible,Portugal,Alentejo,Terra d'Alter,Vino tinto,Shiraz/Syrah,23,4.2,9,"Ternera, Cordero, Ternera lechal, Aves"
https://www.vivino.com/ES/es/cascina-belmonte-naturae/w/5678643,5678643,Naturae,2023,Italia,Lombardía,Cascina Belmonte,Vino tinto,Rebo,17.30,3.9,No disponible,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/spice-route-pinotage/w/1112386,1112386,Pinotage,No disponible,Sudáfrica,Swartland,Spice Route,Vino tinto,Pinotage,18.75,4.0,14,"Ternera, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/waterkloof-circumstance-syrah/w/1227784,1227784,Circumstance Syrah,No disponible,Sudáfrica,Stellenbosch,Waterkloof,Vino tinto,Shiraz/Syrah,12.67,3.8,5,"Ternera, Cordero, Aves, Carne de caza (ciervo, carne de venado)"
