Url,ID,Nombre,Año,País,Región,Bodega,Tipo de vino,Uva,Precio,Valoración,Contenido de alcohol,Maridajes
https://www.vivino.com/ES/es/terroir-al-limit-soc-lda-terra-de-cuques-negre/w/6295355,6295355,Terra de Cuques Negre,2021,España,Priorato,Terroir Al Límit Soc. Lda,Vino tinto,Garnacha,38.20,4.1,5,"Ternera, Cordero, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/chateau-dauzac-labastide-dauzac-margaux/w/73556,73556,Labastide Dauzac Margaux,2017,Francia,Margaux,Château Dauzac,Vino tinto,"Merlot, Cabernet Sauvignon",37.30,4.1,14,"Ternera, Cordero, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/reine-pedauque-savigny-les-beaune/w/1781253,1781253,Savigny-lès-Beaune Rouge,2020,Francia,Savigny-lès-Beaune,Reine Pédauque,Vino tinto,Pinot Noir,38.20,3.6,14,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/ritterhof-alto-adige-sudtirol-crescendo-pinot-noir/w/1615958,1615958,Dignus Crescendo Blauburgunder,2019,Italia,Südtirol - Alto Adige,Ritterhof,Vino tinto,Blauburgunder,38.20,3.9,5,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/calvet-chateauneuf-du-pape/w/1174351,1174351,Châteauneuf-du-Pape,2021,Francia,Châteauneuf-du-Pape,Calvet,Vino tinto,"Grenache, Mourvedre, Cinsault, Shiraz/Syrah",28.29,4.1,15,"Cordero, Cerdo, Aves"
https://www.vivino.com/ES/es/roger-sabon-chateauneuf-du-pape-les-olivets/w/36124,36124,Châteauneuf-du-Pape Les Olivets,2022,Francia,Châteauneuf-du-Pape,Roger Sabon,Vino tinto,Grenache,31.90,4.0,16,"Cordero, Cerdo, Aves"
https://www.vivino.com/ES/es/mas-del-perie-fabien-jouves-amphore/w/3418953,3418953,Amphore,2016,Francia,Cahors,Mas del Périé - Fabien Jouves,Vino tinto,Malbec,38.20,3.9,14,"Ternera, Cordero, Aves"
https://www.vivino.com/ES/es/matrot-bourgogne-pinot-noir/w/1447430,1447430,Bourgogne Pinot Noir,2022,Francia,Bourgogne,Matrot,Vino tinto,Pinot Noir,34.20,3.7,5,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/gulfi-neromaccarj/w/27354,27354,NeroMàccarj,2018,Italia,Terre Siciliane,Gulfi,Vino tinto,Nero d'Avola,38.20,4.1,5,"Ternera, Cordero, Pasta"
https://www.vivino.com/ES/es/chateau-sociando-mallet-haut-medoc/w/1161268,1161268,Haut-Médoc,2021,Francia,Haut-Médoc,Château Sociando-Mallet,Vino tinto,Cabernet Sauvignon,38.20,4.1,13,"Ternera, Cordero, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/artadi-artazu-pasos-de-san-martin-garnacha/w/2309741,2309741,Artazu Pasos de San Martín Garnacha,2019,España,Vino de España,Artadi,Vino tinto,Garnacha,16,3.9,5,"Ternera, Cordero, Aves, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/frontonio-garnacha-valdejalon/w/1754099,1754099,Garnacha,2017,España,Valdejalón,Bodegas Frontonio,Vino tinto,Garnacha,38.15,4.1,5,"Ternera, Cordero, Aves, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/sociale-di-gattinara-gattinara/w/1749024,1749024,Gattinara,2017,Italia,Gattinara,Cantina Sociale di Gattinara,Vino tinto,Nebbiolo,38.14,3.8,13,"Ternera, Cordero, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/domaine-aux-moines-anjou-villages/w/1543793,1543793,Anjou-Villages,2014,Francia,Anjou-Villages,Domaine Aux Moines,Vino tinto,"Cabernet Sauvignon, Cabernet Franc",38.10,3.6,13,"Cordero, Cerdo, Aves, Queso de leche de cabra"
https://www.vivino.com/ES/es/silvio-nardi-brunello-di-montalcino/w/1156767,1156767,Brunello di Montalcino,2018,Italia,Brunello di Montalcino,Tenute Silvio Nardi,Vino tinto,Sangiovese,38.10,4.1,5,"Ternera, Cordero, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/rapitala-hugonis/w/28704,28704,Hugonis,2020,Italia,Terre Siciliane,Tenuta Rapitalà,Vino tinto,"Nero d'Avola, Cabernet Sauvignon",30.90,4.0,14,"Ternera, Cordero, Pasta"
https://www.vivino.com/ES/es/barni-bramaterra-vigna-belvedere/w/1555009,1555009,Bramaterra Vigna Belvedere,2019,Italia,Piamonte,Barni,Vino tinto,"Nebbiolo, Croatina",38.10,3.8,No disponible,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/castello-nipozzano-vigna-montesodi-chianti-rufina-riserva/w/12133671,12133671,Vigna Montesodi Chianti Rùfina Riserva,2021,Italia,Chianti Rùfina,Castello Nipozzano,Vino tinto,Sangiovese,38.10,4.1,5,"Ternera, Ternera lechal, Aves"
