Url,ID,Nombre,Año,País,Región,Bodega,Tipo de vino,Uva,Precio,Valoración,Contenido de alcohol,Maridajes
https://www.vivino.com/ES/es/alfredo-maestro-el-marciano/w/1816176,1816176,El Marciano,2022,España,Castilla y León,Alfredo Maestro,Vino tinto,Garnacha,12.15,3.7,15,"Ternera, Cordero, Aves, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/nino-negri-le-tense-sassella-valtellina-superiore/w/28254,28254,Le Tense Sassella Valtellina Superiore,2020,Italia,Valtellina Superiore,Nino Negri,Vino tinto,Nebbiolo,26.10,3.8,9,"Ternera, Cordero, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/holden-manz-cabernet-sauvignon/w/2244166,2244166,Cabernet Sauvignon,No disponible,Sudáfrica,Franschhoek,Holden Manz,Vino tinto,Cabernet Sauvignon,21,4.0,14,"Ternera, Cordero, Aves"
https://www.vivino.com/ES/es/didier-chaffardon-clopin-clopant/w/3136281,3136281,Clopin Clopant,No disponible,Francia,Vin de France.,Didier Chaffardon,Vino tinto,Grolleau,20.55,3.6,No disponible,
https://www.vivino.com/ES/es/artuke-finca-de-los-locos-rioja/w/1595263,1595263,Finca de los Locos Rioja,2020,España,Rioja,Artuke,Vino tinto,"Tempranillo, Graciano",21.20,3.9,14,"Ternera, Cordero, Ternera lechal, Aves"
https://www.vivino.com/ES/es/domaine-de-la-solitude-famille-lancon-cotes-du-rhone/w/1230065,1230065,Côtes du Rhône,No disponible,Francia,Côtes-du-Rhône (Colinas del Ródano),Domaine de la Solitude - Famille Lancon,Vino tinto,Grenache,21,3.8,14,"Ternera, Cordero, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/familia-torres-sangre-de-toro/w/1385210,1385210,Sangre de Toro,2023,España,Cataluña,Familia Torres,Vino tinto,Grenache,4.95,3.5,5,"Ternera, Cordero, Aves, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/el-regajal-le-petit-galia/w/8958254,8958254,Le Petit Galia,No disponible,España,Castilla y León,El Regajal,Vino tinto,"Grenache, Tinto Fino, Albillo",19.20,4.0,15,"Ternera, Ternera lechal, Aves, Pasta"
https://www.vivino.com/ES/es/gentilini-eclipse/w/1597342,1597342,Eclipse,No disponible,Grecia,Cefalonia,Gentilini,Vino tinto,Mavrodafni,21,3.9,13,"Ternera, Cordero, Ternera lechal, Carne de caza (ciervo, carne de venado), Queso curado"
https://www.vivino.com/ES/es/costa-lazaridi-syrah/w/14529,14529,Syrah,No disponible,Grecia,Drama,Costa Lazaridi,Vino tinto,Shiraz/Syrah,21.30,4.0,14,"Ternera, Cordero, Ternera lechal, Carne de caza (ciervo, carne de venado), Queso curado"
