Url,ID,Nombre,Año,País,Región,Bodega,Tipo de vino,Uva,Precio,Valoración,Contenido de alcohol,Maridajes
https://www.vivino.com/ES/es/zenato-amarone-della-valpolicella-classico-riserva-sergio-zenato/w/1127704,1127704,Amarone della Valpolicella Classico Riserva (Sergio ),2018,Italia,Amarone della Valpolicella Classico,Zenato,Vino tinto,Corvina,105.26,4.5,5,"Ternera, Cordero, Carne de caza (ciervo, carne de venado), Queso azul"
https://www.vivino.com/ES/es/mount-mary-vineyard-quintet/w/2343443,2343443,Quintet,No disponible,Australia,Yarra Valley,Mount Mary,Vino tinto,Petit Verdot,87.99,4.3,7,"Ternera, Cordero, Aves, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/dominus-estate-napanook/w/9961,9961,Napanook,2020,Estados Unidos,Valle de Napa,Dominus,Vino tinto,"Cabernet Sauvignon, Cabernet Franc, Petit Verdot",129.31,4.2,5,"Ternera, Cordero, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/bartolo-mascarello-nebbiolo-langhe/w/1483182,1483182,Nebbiolo Langhe,2022,Italia,Langhe,Bartolo Mascarello,Vino tinto,Nebbiolo,110.80,4.1,13,"Ternera, Cordero, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/domaine-a-f-gros-gevrey-chambertin/w/8464709,8464709,Gevrey-Chambertin,No disponible,Francia,Gevrey-Chambertin,A.F. Gros,Vino tinto,Pinot Noir,133.64,4.1,14,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/rippon-emma-s-block-mature-vine-pinot-noir/w/1117019,1117019,'Emma's Block' Mature Vine Pinot Noir,No disponible,New Zealand,Central Otago,Rippon,Vino tinto,Pinot Noir,62.88,4.1,5,"Ternera, Ternera lechal, Carne de caza (ciervo, carne de venado), Champiñones"
https://www.vivino.com/ES/es/stag-s-leap-wine-cellars-artemis-cabernet-sauvignon/w/1107336,1107336,ARTEMIS Cabernet Sauvignon,No disponible,Estados Unidos,Valle de Napa,Stag's Leap Wine Cellars,Vino tinto,Cabernet Sauvignon,59,4.4,5,"Ternera, Cordero, Aves, Carne de caza (ciervo, carne de venado), Queso curado"
https://www.vivino.com/ES/es/mastrojanni-vigna-loreto-brunello-di-montalcino/w/2373036,2373036,Vigna Loreto Brunello di Montalcino,2016,Italia,Brunello di Montalcino,Mastrojanni,Vino tinto,Sangiovese,384.30,4.3,15,"Ternera, Cordero, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/siglo-la-rioja-gran-reserva/w/1650786,1650786,Gran Reserva,No disponible,España,Rioja,Siglo,Vino tinto,"Garnacha, Tempranillo, Graciano",23.18,3.8,5,"Ternera, Cordero, Ternera lechal, Aves"
https://www.vivino.com/ES/es/bouchard-finlayson-tete-de-cuvee-pinot-noir/w/18766,18766,Tete de Cuvée Pinot Noir,No disponible,Sudáfrica,Walker Bay,Bouchard Finlayson,Vino tinto,Pinot Noir,114,4.4,98,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
