Url,ID,Nombre,Año,País,Región,Bodega,Tipo de vino,Uva,Precio,Valoración,Contenido de alcohol,Maridajes
https://www.vivino.com/ES/es/soca-rel-escursac/w/8900170,8900170,Escursac,2023,España,Binissalem-Mallorca,Soca-Rel,Vino tinto,Escursac,23,3.8,5,"Ternera, Ternera lechal, Aves, Pasta"
https://www.vivino.com/ES/es/passo-delle-tortore-sasso-serra-irpinia-aglianico/w/8831079,8831079,Sasso Serra Irpinia Aglianico,2021,Italia,Irpinia,Passo delle Tortore,Vino tinto,Aglianico,23,4.0,5,"Ternera, Cordero, Pasta"
https://www.vivino.com/ES/es/elena-walch-merlot-selezione/w/1557064,1557064,Merlot (Selezione),2023,Italia,Südtirol - Alto Adige,Elena Walch,Vino tinto,Merlot,17.78,3.7,13,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/soca-rel-manto-negro-escursac/w/9950217,9950217,Manto Negro - Escursac,2022,España,Binissalem-Mallorca,Soca-Rel,Vino tinto,"Manto Negro, Escursac",23,4.1,5,"Ternera, Ternera lechal, Aves, Pasta"
https://www.vivino.com/ES/es/bodegas-marques-de-caceres-excellens-cuvee-especial/w/2268061,2268061,Excellens Cuvée Especial,2020,España,Rioja,Bodegas Marqués de Cáceres,Vino tinto,Tempranillo,23,3.9,14,"Ternera, Cordero, Ternera lechal, Aves"
https://www.vivino.com/ES/es/chateau-cap-st-george-saint-georges-saint-emilion/w/5175914,5175914,Saint-Georges-Saint-Émilion,2022,Francia,Saint-Georges-Saint-Émilion,Chateau Cap St George,Vino tinto,Cabernet Franc,23,3.9,48,"Ternera, Cordero, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/elvio-cogno-bricco-dei-merli-barbera-d-alba/w/1170267,1170267,Bricco Dei Merli Barbera d'Alba,2020,Italia,Barbera d'Alba,Elvio Cogno,Vino tinto,Barbera,23,3.8,14,"Ternera lechal, Cerdo, Aves, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/teruzzi-melograni/w/6487614,6487614,Melograni,2018,Italia,Toscana,Teruzzi,Vino tinto,"Sangiovese, Petit Verdot",22,4.1,5,"Ternera, Cordero, Ternera lechal, Aves, Carne adobada"
https://www.vivino.com/ES/es/pio-cesare-grignolino-del-monferrato-casalese/w/1128682,1128682,Grignolino del Monferrato Casalese,2022,Italia,Grignolino del Monferrato Casalese,Pio Cesare,Vino tinto,Grignolino,23,3.7,13,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/a-vita-il-rosso/w/1741371,1741371,Il Rosso,2022,Italia,Calabria,'A Vita,Vino tinto,Gaglioppo,23,3.8,No disponible,"Ternera, Cordero, Pasta"
https://www.vivino.com/ES/es/bodega-norton-reserva-malbec/w/3215,3215,Reserva Malbec,2022,Argentina,Luján de Cuyo,Bodega Norton,Vino tinto,Malbec,22.99,3.7,5,"Ternera, Cordero"
https://www.vivino.com/ES/es/domaine-chanson-bourgogne-pinot-noir-bourgogne/w/1243843,1243843,Bourgogne Pinot Noir,2022,Francia,Bourgogne,Domaine Chanson,Vino tinto,Pinot Noir,22.99,3.6,13,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/enrique-mendoza-las-quebradas-monastrell/w/2754353,2754353,Las Quebradas Monastrell,2021,España,Alicante,Enrique Mendoza,Vino tinto,Monastrell,22.37,4.1,5,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/montegrande-di-cristofanon-vigna-delle-roche-colli-euganei-rosso/w/1473415,1473415,Vigna delle Roche Colli Euganei Rosso,2021,Italia,Colli Euganei,Montegrande di Cristofanon,Vino tinto,"Merlot, Cabernet Sauvignon, Cabernet Franc",22.98,4.0,5,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/donnafugata-angheli/w/4791,4791,Angheli,2021,Italia,Sicilia,Donnafugata,Vino tinto,"Cabernet Sauvignon, Merlot",22.98,3.9,5,"Ternera, Cordero, Pasta"
https://www.vivino.com/ES/es/torre-rosazzo-altro-merlot-merlot/w/2100304,2100304,Altro Merlot Merlot,2019,Italia,Colli Orientali del Friuli,Torre Rosazza,Vino tinto,Merlot,22.98,4.0,14,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/cascina-carlot-votiva-barbera-d-asti-superiore/w/7120337,7120337,Votiva Barbera d'Asti Superiore,2022,Italia,Barbera d'Asti,Cascina Carlot,Vino tinto,Barbera,22.97,4.1,14,"Ternera lechal, Cerdo, Aves, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/remy-fressineau-montagne-saint-emilion/w/1168733,1168733,Montagne Saint-Émilion,2019,Francia,Montagne-Saint-Émilion,Château Piron,Vino tinto,"Cabernet Sauvignon, Merlot",22.96,3.6,5,"Ternera, Cordero, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/tenuta-orsumella-rubereto/w/4826808,4826808,Rubereto,2020,Italia,Toscana,Tenuta Orsumella,Vino tinto,"Cabernet Sauvignon, Sangiovese",22.96,3.9,5,"Ternera, Cordero, Ternera lechal, Aves, Carne adobada"
https://www.vivino.com/ES/es/venica-venica-merlot/w/1311725,1311725,Merlot,2021,Italia,Collio,Venica & Venica,Vino tinto,Merlot,22.96,3.8,5,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/majolini-ruc-di-gnoc-curtefranca/w/1257444,1257444,Ruc di Gnoc Curtefranca,2016,Italia,Curtefranca,Majolini,Vino tinto,"Cabernet Sauvignon, Merlot, Nebbiolo, Barbera",22.96,3.6,5,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/krasno-pinot-noir/w/6513088,6513088,Pinot Noir,2020,Eslovenia,Goriška Brda,Krasno,Vino tinto,Pinot Noir,22.96,3.9,15,"Ternera lechal, Aves, Carne de caza (ciervo, carne de venado), Champiñones"
https://www.vivino.com/ES/es/miliasso-barbaresco-barbaresco/w/5975793,5975793,Barbaresco,2019,Italia,Barbaresco,Miliasso,Vino tinto,Nebbiolo,22.96,3.8,14,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/petrucco-ronco-del-balbo-merlot/w/2081255,2081255,Ronco del Balbo Merlot,2018,Italia,Colli Orientali del Friuli,Petrucco,Vino tinto,Merlot,22.96,4.1,5,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/son-prim-merlot/w/1238859,1238859,Merlot,2021,España,Mallorca,Son Prim,Vino tinto,Merlot,24.05,4.0,15,"Ternera, Cordero, Ternera lechal"
https://www.vivino.com/ES/es/tabula-ribera-del-duero-red/w/1146111,1146111,Ribera del Duero Red,2019,España,Ribera del Duero,Tábula,Vino tinto,Tempranillo,22.90,4.1,5,"Ternera, Cordero, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/tempel-wines-sorgvry-cinsaut/w/7712103,7712103,Sorgvry Cinsaut,2022,Sudáfrica,Paarl,Tempel Wines,Vino tinto,Cinsaut,22.95,4.2,5,"Ternera, Cordero, Cerdo, Vegetariana, Aves"
