Url,ID,Nombre,Año,País,Región,Bodega,Tipo de vino,Uva,Precio,Valoración,Contenido de alcohol,Maridajes
https://www.vivino.com/ES/es/bouchard-pere-and-fils-bourgogne-pinot-noir/w/73257,73257,Bourgogne Pinot Noir,No disponible,Francia,Bourgogne,Bouchard Père & Fils,Vino tinto,Pinot Noir,21,3.5,5,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/richard-rottiers-dernier-souffle-moulin-a-vent/w/1510071,1510071,Dernier Souffle Moulin à Vent,No disponible,Francia,Moulin-à-Vent,Richard Rottiers,Vino tinto,Gamay,29.72,3.9,13,"Ternera lechal, Cerdo, Aves, Pasta, Carne adobada"
https://www.vivino.com/ES/es/mari-elodie-mademoiselle-m-fleurie/w/6910099,6910099,Mademoiselle M Fleurie,2021,Francia,Fleurie,Clos de Mez,Vino tinto,Gamay,33.98,3.8,13,"Ternera lechal, Cerdo, Aves, Pasta, Carne adobada"
https://www.vivino.com/ES/es/domaine-de-courbissac-les-farradjales-minervois/w/5903169,5903169,Les Farradjales Minervois,No disponible,Francia,Minervois,Domaine de Courbissac,Vino tinto,Cinsault,20,3.8,13,"Ternera, Ternera lechal, Pasta"
https://www.vivino.com/ES/es/balaguer-i-cabre-la-guinardera-gratallops-vi-de-vila/w/1281624,1281624,La Guinardera Gratallops Vi de Vila,No disponible,España,Priorato,Balaguer I Cabre,Vino tinto,Garnacha,16.95,4.0,16,"Ternera, Cordero, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/dougos-rapsani-old-vines/w/2562055,2562055,Rapsani Old Vines,No disponible,Grecia,Rapsani,Dougos,Vino tinto,"Xinomavro, Krassato, Stavroto",20.50,3.9,5,"Cordero, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado), Queso curado"
https://www.vivino.com/ES/es/plantamura-primitivo-riserva/w/1602782,1602782,Primitivo Riserva,No disponible,Italia,Gioia del Colle,Plantamura,Vino tinto,Primitivo,16,3.8,4,"Ternera, Cordero, Aves, Pasta"
https://www.vivino.com/ES/es/claire-et-florent-bejon-saint-germain-touraine/w/5932795,5932795,Saint Germain Touraine,No disponible,Francia,Touraine,Claire et Florent Bejon,Vino tinto,Cabernet Franc,No disponible,3.9,13,"Cordero, Vegetariana, Aves, Queso de leche de cabra"
https://www.vivino.com/ES/es/es-montecillo-rioja-crianza/w/1100227,1100227,Rioja Crianza,2020,España,Rioja,Montecillo,Vino tinto,Tempranillo,7.45,3.6,5,"Ternera, Cordero, Ternera lechal, Aves"
https://www.vivino.com/ES/es/matetic-corralillo-pinot-noir/w/1207803,1207803,Corralillo Pinot Noir,No disponible,Chile,San Antonio Valley,Matetic,Vino tinto,Pinot Noir,21,3.8,5,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/jimenez-landi-sotorrondero/w/1165915,1165915,Sotorrondero,2018,España,Méntrida,Jiménez-Landi,Vino tinto,"Shiraz/Syrah, Grenache",16.90,3.6,5,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/chateau-alcee-castillon-cotes-de-bordeaux/w/3393906,3393906,Castillon - Côtes de Bordeaux,No disponible,Francia,Castillon - Côtes de Bordeaux,Château Alcée,Vino tinto,"Cabernet Franc, Merlot",22.11,3.8,14,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/bellisle-mondotte-saint-emilion-grand-cru-st-emilion-grand-cru/w/6076141,6076141,Saint-Émilion Grand Cru,2021,Francia,Saint-Émilion Grand Cru,Château Mondotte Bellisle,Vino tinto,"Cabernet Franc, Merlot",30.80,4.0,13,"Ternera, Cordero, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/finca-sobreno-seleccion-especial/w/2219440,2219440,Seleccion Especial,No disponible,España,Toro,Finca Sobreno,Vino tinto,Tempranillo,21.50,4.1,5,"Ternera, Cordero, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/gianni-doglia-ruche/w/7145705,7145705,Ruchè,No disponible,Italia,Ruchè,Gianni Doglia,Vino tinto,Ruché,No disponible,3.9,14,"Ternera, Cordero, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/alfredo-maestro-el-rey-del-glam/w/5445061,5445061,El Rey del Glam,2022,España,Castilla y León,Alfredo Maestro,Vino tinto,Garnacha,13.12,3.8,5,"Ternera, Cordero, Aves, Pasta, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/joseph-drouhin-morgon-hospice-de-belleville/w/4419598,4419598,Morgon Hospice de Belleville,No disponible,Francia,Morgon,Joseph Drouhin,Vino tinto,Gamay,20.25,3.7,13,"Ternera lechal, Cerdo, Aves, Pasta, Carne adobada"
https://www.vivino.com/ES/es/carpineto-farnito-cabernet-sauvignon-toscana/w/6206,6206,Farnito Cabernet Sauvignon Toscana,No disponible,Italia,Toscana,Carpineto,Vino tinto,Cabernet Sauvignon,21.11,4.0,5,"Ternera, Cordero, Ternera lechal, Aves, Carne adobada"
https://www.vivino.com/ES/es/olivier-riviere-rioja-gabaxo/w/3505802,3505802,Rioja Gabaxo,2022,España,Rioja,Olivier Rivière,Vino tinto,Garnacha,17.80,3.8,14,"Ternera, Cordero, Ternera lechal, Aves"
https://www.vivino.com/ES/es/gulfi-nerojbleo/w/27334,27334,Nerojbleo,No disponible,Italia,Terre Siciliane,Gulfi,Vino tinto,Nero d'Avola,14,3.9,5,"Ternera, Cordero, Pasta"
https://www.vivino.com/ES/es/domaine-lafage-arqueta-collioure/w/2282656,2282656,Arqueta Collioure,2020,Francia,Collioure,Domaine Lafage,Vino tinto,"Shiraz/Syrah, Grenache, Carignan, Grenache Gris",14.97,3.9,15,"Ternera, Ternera lechal, Pasta"
https://www.vivino.com/ES/es/lafon-listrac-medoc/w/2552550,2552550,Listrac-Médoc,No disponible,Francia,Listrac-Médoc,Château Lafon,Vino tinto,"Cabernet Sauvignon, Malbec",21,3.6,5,"Ternera, Aves, Carne de caza (ciervo, carne de venado)"
