Url,Nombre,Año,País,Región,Bodega,Tipo de vino,Uva,Precio,Valoración,Contenido de alcohol,Maridajes
https://www.vivino.com/ES/es/schloss-muhlenhof-spatburgunder-blanc-de-noirs-trocken/w/1420124,Spätburgunder Blanc de Noirs Trocken,No disponible,Alemania,Rheinhessen,Schlossmühlenhof,Vino blanco,Spätburgunder,7.90,3.8,5,"Marisco, Vegetariana, Pescado blanco, Champiñones"
https://www.vivino.com/ES/es/felix-lorenzo-cachazo-carrasvinas-rueda-verdejo/w/1784490,Carrasviñas Rueda Verdejo,2024,España,Rueda,Bodegas Félix Lorenzo Cachazo,Vino blanco,Verdejo,6.25,3.8,No disponible,"Cerdo, Marisco, Vegetariana, Carne adobada"
https://www.vivino.com/ES/es/cartuxa-ea-branco/w/1712414,EA Branco,No disponible,Portugal,Alentejano,Cartuxa,Vino blanco,Roupeiro,11.95,3.7,13,"Cerdo, Marisco, Pasta, Pescado blanco"
https://www.vivino.com/ES/es/vina-sanzo-vinas-viejas-verdejo/w/1256164,Viñas Viejas Verdejo,2023,España,Rueda,Viña Sanzo,Vino blanco,Verdejo,6.27,3.8,13,"Cerdo, Marisco, Vegetariana, Carne adobada"
https://www.vivino.com/ES/es/mariluna-blanco/w/1920280,Blanco,No disponible,España,Valencia,Mariluna,Vino blanco,"Macabeo, Verdejo",7.23,3.8,No disponible,
https://www.vivino.com/ES/es/celler-de-sanui-el-petit-de-sanui-blanc/w/8448445,El Petit de Sanui Blanc,2023,España,Costers del Segre,Celler de Sanui,Vino blanco,"Riesling, Macabeo, Muscat of Alexandria",6.85,3.6,5,
https://www.vivino.com/ES/es/bodegas-marques-de-caceres-excellens-verdejo/w/7287751,Excellens Verdejo,2024,España,Rueda,Bodegas Marqués de Cáceres,Vino blanco,Verdejo,7.25,4.0,13,"Cerdo, Marisco, Vegetariana, Carne adobada"
https://www.vivino.com/ES/es/dominio-de-baco-airen/w/2053465,Airen,2023,España,La Mancha,Dominio de Baco,Vino blanco,Airen,5.20,3.8,5,"Marisco, Vegetariana, Aves, Pescado blanco"
https://www.vivino.com/ES/es/pascona-la-germana-de-pascona/w/2426100,La Germana de,No disponible,España,Cataluña,Pascona,Vino blanco,"Macabeo, Moscatel de grano menudo",7.95,3.6,5,
https://www.vivino.com/ES/es/solar-de-munosancho-prius-de-morana-verdejo/w/1200267,Prius de Moraña Verdejo,No disponible,España,Rueda,Solar de Muñosancho,Vino blanco,Verdejo,6.50,3.8,5,"Cerdo, Marisco, Vegetariana, Carne adobada"
